Date,picks,daily_return,equity
2022-01-04,0,0.0,1000000.0
2022-01-05,0,0.0,1000000.0
2022-01-06,0,0.0,1000000.0
2022-01-07,0,0.0,1000000.0
2022-01-10,0,0.0,1000000.0
2022-01-11,0,0.0,1000000.0
2022-01-12,0,0.0,1000000.0
2022-01-13,0,0.0,1000000.0
2022-01-14,0,0.0,1000000.0
2022-01-17,0,0.0,1000000.0
2022-01-18,0,0.0,1000000.0
2022-01-19,0,0.0,1000000.0
2022-01-20,0,0.0,1000000.0
2022-01-21,0,0.0,1000000.0
2022-01-24,0,0.0,1000000.0
2022-01-25,0,0.0,1000000.0
2022-01-26,0,0.0,1000000.0
2022-01-27,0,0.0,1000000.0
2022-01-28,0,0.0,1000000.0
2022-02-03,0,0.0,1000000.0
2022-02-04,0,0.0,1000000.0
2022-02-07,0,0.0,1000000.0
2022-02-08,0,0.0,1000000.0
2022-02-09,0,0.0,1000000.0
2022-02-10,0,0.0,1000000.0
2022-02-11,0,0.0,1000000.0
2022-02-14,0,0.0,1000000.0
2022-02-15,0,0.0,1000000.0
2022-02-16,0,0.0,1000000.0
2022-02-17,0,0.0,1000000.0
2022-02-18,0,0.0,1000000.0
2022-02-21,0,0.0,1000000.0
2022-02-22,3,-0.0031,996900.0
2022-02-23,0,0.0,996900.0
2022-02-24,0,0.0,996900.0
2022-02-25,0,0.0,996900.0
2022-02-28,3,0.013541088848710888,1010399.1114732798
2022-03-02,1,0.03611568627450989,1046890.3687952922
2022-03-03,0,0.0,1046890.3687952922
2022-03-04,0,0.0,1046890.3687952922
2022-03-07,0,0.0,1046890.3687952922
2022-03-08,3,-0.004426727388990386,1042256.0705264758
2022-03-10,0,0.0,1042256.0705264758
2022-03-11,0,0.0,1042256.0705264758
2022-03-14,3,-0.019586725792036765,1021841.6866679881
2022-03-15,3,0.04991957591356803,1072851.590317259
2022-03-16,3,0.013905490270711226,1087770.1176683328
2022-03-17,0,0.0,1087770.1176683328
2022-03-18,0,0.0,1087770.1176683328
2022-03-21,0,0.0,1087770.1176683328
2022-03-22,0,0.0,1087770.1176683328
2022-03-23,0,0.0,1087770.1176683328
2022-03-24,0,0.0,1087770.1176683328
2022-03-25,0,0.0,1087770.1176683328
2022-03-28,0,0.0,1087770.1176683328
2022-03-29,0,0.0,1087770.1176683328
2022-03-30,0,0.0,1087770.1176683328
2022-03-31,0,0.0,1087770.1176683328
2022-04-01,0,0.0,1087770.1176683328
2022-04-04,0,0.0,1087770.1176683328
2022-04-05,0,0.0,1087770.1176683328
